name,code_region,code,address_line_1,address_line_2,postal_code,city,country,full_address,latitude,longitude
Abbeville,GPVL,PVL01881,47 rue Du Maréchal Foch,,80100,Abbeville,FR,47 rue Du Maréchal Foch 80100 Abbeville,50.104703,1.835708
Agde,GMED,GSU85643,2 rue Grand Cap,Zac Les Cayrets,34300,Agde,FR,2 rue Grand Cap 34300 Agde,43.299242,3.477839
Agen,GCA,GCA03236,235 avenue du Général Leclerc,,47000,Agen,FR,235 avenue du Général Leclerc 47000 Agen,44.181519,0.623182
Ahun,GOC,GOC87038,place Couderc,,23150,Ahun,FR,place Couderc 23150 Ahun,46.086916,2.045715
Aignan,GOC,GOC89049,8 place Colonel Parisot,,32290,Aignan,FR,8 place Colonel Parisot 32290 Aignan,43.697709,0.083669
Aignay Le Duc,GGE,GGE02101,rue De La Planchotte,,21510,Aignay Le Duc,FR,rue De La Planchotte 21510 Aignay Le Duc,47.666893,4.731497
Aigre,GCA,GCA03100,31 Grand'Rue,,16140,Aigre,FR,31 Grand'Rue 16140 Aigre,45.925046,0.014914
Aigrefeuille,GLB,LBR46002,1 rue Des Merisiers,,44140,Aigrefeuille Sur Maine,FR,1 rue Des Merisiers 44140 Aigrefeuille Sur Maine,47.078337,-1.40502
Aigues Mortes,GMED,GSU85468,"1121, route de Nîmes",La Malmousque,30220,Aigues Mortes,FR,"1121, route de Nîmes 30220 Aigues Mortes",43.57755,4.198735
Aigurande,GCA,GCA03402,4 rue De La Marche,,36140,Aigurande,FR,4 rue De La Marche 36140 Aigurande,46.433589,1.826319
Ailly Sur Noye,GPVL,PVL01882,8 rue Du Docteur Binant,,80250,Ailly Sur Noye,FR,8 rue Du Docteur Binant 80250 Ailly Sur Noye,49.756684,2.361519
Airaines,GPVL,PVL01883,11 place Du 53Ème R.I.C.M.S,,80270,Airaines,FR,11 place Du 53Ème R.I.C.M.S 80270 Airaines,49.966758,1.941443
Aire sur Adour,GOC,GOC90114,15 rue Gambetta,,40800,Aire Sur L Adour,FR,15 rue Gambetta 40800 Aire Sur L Adour,43.700543,-0.262656
Aire-sur-la-Lys,GNE,GNE78165,5 rue Notre Dame,,62120,Aire Sur La Lys,FR,5 rue Notre Dame 62120 Aire Sur La Lys,50.638775,2.394208
Airvault,GCA,GCA03245,2 faubourg Des Cyprès,Bâtiment 1,79600,Airvault,FR,2 faubourg Des Cyprès 79600 Airvault,46.825317,-0.14204
Aix Mirabeau,GMED,GSU06661,23 cours Mirabeau,,13100,Aix En Provence,FR,23 cours Mirabeau 13100 Aix En Provence,43.526854,5.448178
Aix Sextius,GMED,GSU06446,avenue Max Juvenal,Les Terrasses De Sextius,13100,Aix En Provence,FR,avenue Max Juvenal 13100 Aix En Provence,43.52619,5.439187
Aix-en-Othe,GNE,GNE72134,4 rue Des Vannes,,10160,Aix en Othe,FR,4 rue Des Vannes 10160 Aix en Othe,48.222231,3.731702
Aixe sur Vienne,GCA,GCA03311,34 rue Du Président Wilson,,87700,Aixe Sur Vienne,FR,34 rue Du Président Wilson 87700 Aixe Sur Vienne,45.796924,1.137856
Aizenay,GCA,GCA03263,25 rue Du Maréchal Foch,,85190,Aizenay,FR,25 rue Du Maréchal Foch 85190 Aizenay,46.738948,-1.609901
Ajaccio,GMED,GSU06284,route D'Alata,Rocade Paludes,20090,Ajaccio BP 924,FR,route D'Alata 20090 Ajaccio BP 924,41.934617,8.736708
Alban,GOC,GOC94006,5 place des Tilleuls,,81250,Alban,FR,5 place des Tilleuls 81250 Alban,43.888449,2.461032
Albert,GPVL,PVL01884,7 rue Lamarck,,80300,Albert,FR,7 rue Lamarck 80300 Albert,50.002718,2.650925
Albi Jaurès,GOC,GOC94106,48 place Jean Jaurès,,81000,Albi,FR,48 place Jean Jaurès 81000 Albi,43.924938,2.148873
Alencon,GCM,GCM01040,109-111 rue D'Argentan,,61000,Alencon,FR,109-111 rue D'Argentan 61000 Alencon,48.43953,0.087162
Alencon Ville,GCM,GCM01103,1 rue St Blaise,,61000,Alencon,FR,1 rue St Blaise 61000 Alencon,48.431202,0.089835
Aleria,GMED,GSU06285,120 Via Santa Laurina,Résidence La Vallée Bât A,20270,Aleria,FR,120 Via Santa Laurina 20270 Aleria,42.112958,9.512338
Alès,GMED,GSU86771,1655 chemin De Tréspeaux,,30100,Ales,FR,1655 chemin De Tréspeaux 30100 Ales,44.116962,4.108957
Allaire,GLB,LBR58001,6 rue De La Liberation,,56350,Allaire,FR,6 rue De La Liberation 56350 Allaire,47.637395,-2.164738
Allanche,GOC,GOC85172,Grande Rue,,15160,Allanche,FR,Grande Rue 15160 Allanche,45.235195,2.98239
Allassac,GOC,GOC86003,avenue Jean Cariven,,19240,Allassac,FR,avenue Jean Cariven 19240 Allassac,45.258206,1.475515
Allonnes,GLB,LBR51645,117 rue Albert Pottier,,49650,Allonnes,FR,117 rue Albert Pottier 49650 Allonnes,47.292959,0.024711
Altkirch,GGE,GGE10099,6A rue De Givet,,68130,Altkirch,FR,6A rue De Givet 68130 Altkirch,47.625328,7.241143
Alzonne,GMED,GSU85325,26 avenue Antoine Courriere,,11170,Alzonne,FR,26 avenue Antoine Courriere 11170 Alzonne,43.25438,2.17476
Ambazac,GCA,GCA03312,place Du 19 Mars 1962,,87240,Ambazac,FR,place Du 19 Mars 1962 87240 Ambazac,45.95888137817380,1.399869441986080
Amboise,GPVL,PVL01110,7 rue Voltaire,,37400,Amboise,FR,7 rue Voltaire 37400 Amboise,47.411722,0.98172
Ambrieres Les Vallees,GCM,GCM01105,1 place Du Marché,,53300,Ambrieres Les Vallees,FR,1 place Du Marché 53300 Ambrieres Les Vallees,48.40211,-0.629707
Amiens Centre Ville,GPVL,PVL01819,2 rue Des Jacobins,,80000,Amiens,FR,2 rue Des Jacobins 80000 Amiens,49.892434,2.297419
Amiens Croix Rompue,GPVL,PVL01885,31 rue Alexandre Dumas,,80090,Amiens,FR,31 rue Alexandre Dumas 80090 Amiens,49.870873,2.303559
Amiens Jules Barni,GPVL,PVL01820,134 rue Jules Barni,,80000,Amiens,FR,134 rue Jules Barni 80000 Amiens,49.886419,2.317134
Ancenis,GLB,LBR46003,boulevard Du Dr Moutel,Centre Commercial Des Arcades,44150,Ancenis,FR,boulevard Du Dr Moutel 44150 Ancenis,47.371535,-1.175615
Anduze,GMED,GSU85473,1 rue Neuve,,30140,Anduze,FR,1 rue Neuve 30140 Anduze,44.053795,3.985322
Angers Foch,GLB,LBR51009,11 boulevard Foch,,49100,Angers,FR,11 boulevard Foch 49100 Angers,47.468972,-0.549372
Angers Grand Maine,GLB,LBR51711,2 allée Du Grand Launay,,49000,Angers,FR,2 allée Du Grand Launay 49000 Angers,47.468338,-0.593419
Angers La Fayette,GLB,LBR51611,16 place La Fayette,,49000,Angers,FR,16 place La Fayette 49000 Angers,47.462162,-0.554266
Angers St Lazare,GLB,LBR51007,4 rue Saint Lazare,,49100,Angers,FR,4 rue Saint Lazare 49100 Angers,47.479102,-0.565242
Anglet,GOC,GOC92072,51 avenue De Bayonne,,64600,Anglet,FR,51 avenue De Bayonne 64600 Anglet,43.482621,-1.505916
Angouleme Saint Antoine,GCA,GCA03101,18 rue Saint Antoine,,16000,Angouleme,FR,18 rue Saint Antoine 16000 Angouleme,45.660755,0.162892
Angouleme Soyaux,GCA,GCA03102,64-66 rue Du Général De Gaulle,,16800,Soyaux,FR,64-66 rue Du Général De Gaulle 16800 Soyaux,45.643304,0.186122
